Time,P1(bar),P2(bar),T,P1a,P2a,p1b,p2b,CEFNI,,,,
171,73.83101852,8,573.2219922,324.2862665,0.615733417,303.0681689,0.503567257,67.20539819,,,,
172,73.80671296,8,573.1113567,324.2862665,0.615733417,302.9683973,0.503664467,67.49946884,,,,
173,73.77893519,7,573.5129891,324.2862665,0.615733417,302.8543726,0.440397781,77.59762598,,,,
174,73.7400463,5,420.8641115,324.2862665,0.615733417,302.694738,0.42866542,80.29865315,,,,
175,71,5,316.7865593,324.2862665,0.615733417,291.4471509,0.569499829,95.05361115,,,,
176,71,5,293.5776512,324.2862665,0.615733417,291.4471509,0.614521884,78.38270031,,,,
177,71,5,293,324.2862665,0.615733417,291.4471509,0.615733417,83.21666666,,,,
178,71,5,293,324.2862665,0.615733417,291.4471509,0.615733417,71.21666666,,9.241620492,,84.11049635
179,71,5,293,324.2862665,0.615733417,291.4471509,0.615733417,82.45166667,,,,
180,71,5,293,324.2862665,0.615733417,291.4471509,0.615733417,94.34166667,,,,
